OID_,Field1,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,lat,long,stationame,station_id_min_2020,monthtotal_sum_2019,monthtotal_sum_2020,F_2019_2020__2019,F2019_2020
145,144,30276,S,87th (95th-bound),87th,87th (Red Line),41430,True,True,False,False,False,False,False,False,False,False,"(41.735372, -87.624717)",41.735371999999998,-87.624717000000004,87th,41430,1186724,551680,0.535123583916732,635044
146,145,30002,W,Austin (Forest Pk-bound),Austin,Austin (Blue Line),40010,False,False,True,False,False,False,False,False,False,False,"(41.870851, -87.776812)",41.870851000000002,-87.776812000000007,Austin-Forest Park,40010,543533,207693,0.617883366787297,335840
147,146,30043,W,Western (Forest Pk Branch) (Forest Pk-bound),Western,Western (Blue Line - Forest Park Branch),40220,False,False,True,False,False,False,False,False,False,False,"(41.875478, -87.688436)",41.875478000000001,-87.688435999999996,Western-Forest Park,40220,494550,201721,0.592112021029218,292829
148,147,30283,N,Western (Kimball-bound),Western,Western (Brown Line),41480,True,False,False,False,True,False,False,False,False,False,"(41.966163, -87.688502)",41.966163000000002,-87.688502000000000,Western-Brown,41480,1258060,436879,0.652735958539338,821181
149,148,30111,N,California (O'Hare-bound),California,California (Blue Line),40570,False,False,True,False,False,False,False,False,False,False,"(41.921939, -87.69689)",41.921939000000002,-87.696889999999996,California/Milwaukee,40570,1702462,511205,0.699726043811844,1191257
150,149,30076,E,Forest Park (O'Hare-bound),Forest Park,Forest Park (Blue Line),40390,True,False,True,False,False,False,False,False,False,False,"(41.874257, -87.817318)",41.874257000000000,-87.817318000000000,Forest Park,40390,924239,402347,0.564672124850823,521892
151,150,30383,N,Washington/Wabash (Outer Loop),Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",41700,True,False,False,True,True,False,False,False,False,False,"(41.88322, -87.626189)",41.883220000000001,-87.626188999999997,Washington/Wabash,41700,3126070,1082287,0.653786703432745,2043783
152,151,30053,S,Main (Howard-Loop-bound),Main,Main (Purple Line),40270,False,False,False,False,False,True,True,False,False,False,"(42.033456, -87.679538)",42.033456000000001,-87.679537999999994,Main,40270,358222,126017,0.648215352490913,232205
153,152,30159,N,Rosemont (O'Hare-bound),Rosemont,Rosemont (Blue Line),40820,True,False,True,False,False,False,False,False,False,False,"(41.983507, -87.859388)",41.983507000000003,-87.859387999999996,Rosemont,40820,1968273,709783,0.639387930434447,1258490
154,153,30132,S,Adams/Wabash (Inner Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",40680,False,False,False,True,False,False,True,False,True,True,"(41.879507, -87.626037)",41.879506999999997,-87.626036999999997,Adams/Wabash,40680,2087483,636466,0.695103624795986,1451017
